# Source: http://earthquake.usgs.gov/earthquakes/, 16 March 2013
DateTime,Latitude,Longitude,Depth,Magnitude
2011-01-01T09:56:58+00:00,-26.803,-63.136,576.8,7.0
2011-01-02T20:20:17+00:00,-38.355,-73.326,24,7.2
2011-01-13T16:16:41+00:00,-20.628,168.471,9,7.0
2011-01-18T20:23:23+00:00,28.777,63.951,68,7.2
2011-03-09T02:45:20+00:00,38.435,142.842,32,7.3
2011-03-11T05:46:24+00:00,38.297,142.373,29,9.0
2011-03-11T06:15:40+00:00,36.281,141.111,42.6,7.9
2011-03-11T06:25:50+00:00,38.058,144.59,18.6,7.7
2011-04-07T14:32:43+00:00,38.276,141.588,42,7.1
2011-06-24T03:09:39+00:00,52.05,-171.836,52,7.3
2011-07-06T19:03:18+00:00,-29.539,-176.34,17,7.6
2011-07-10T00:57:10+00:00,38.034,143.264,23,7.0
2011-08-20T16:55:02+00:00,-18.365,168.143,32,7.2
2011-08-20T18:19:23+00:00,-18.311,168.218,28,7.1
2011-08-24T17:46:11+00:00,-7.641,-74.525,147,7.0
2011-09-03T22:55:40+00:00,-20.671,169.716,185.1,7.0
2011-09-15T19:31:04+00:00,-21.611,-179.528,644.6,7.3
2011-10-21T17:57:16+00:00,-28.993,-176.238,33,7.4
2011-10-23T10:41:22+00:00,38.722,43.513,16,7.1
2011-12-14T05:04:59+00:00,-7.561,146.804,140.9,7.1
2012-01-10T18:36:59+00:00,2.433,93.21,19,7.2
2012-02-02T13:34:40+00:00,-17.827,167.133,23,7.1
2012-03-20T18:02:47+00:00,16.493,-98.231,20,7.4
2012-03-25T22:37:06+00:00,-35.2,-72.217,40.7,7.1
2012-04-11T08:38:36+00:00,2.327,93.063,20,8.6
2012-04-11T10:43:10+00:00,0.802,92.463,25.1,8.2
2012-04-12T07:15:48+00:00,28.696,-113.104,13,7.0
2012-08-14T02:59:38+00:00,49.8,145.064,583.2,7.7
2012-08-27T04:37:19+00:00,12.139,-88.59,28,7.3
2012-08-31T12:47:33+00:00,10.811,126.638,28,7.6
2012-09-05T14:42:07+00:00,10.085,-85.315,35,7.6
2012-09-30T16:31:35+00:00,1.929,-76.362,170,7.3
2012-10-28T03:04:08+00:00,52.788,-132.101,14,7.8
2012-11-07T16:35:46+00:00,13.963,-91.854,24,7.4
2012-12-07T08:18:23+00:00,37.89,143.949,31,7.3
2012-12-10T16:53:08+00:00,-6.533,129.825,155,7.1
2013-01-05T08:58:19+00:00,55.394,-134.65,10,7.5
2013-02-06T01:12:27+00:00,-10.738,165.138,28.7,8.0
2013-02-06T01:23:19+00:00,-11.2541,164.9323,10.14,7.1
2013-02-06T01:54:15+00:00,-10.479,165.772,9.8,7.0
2013-02-08T15:26:38+00:00,-10.932,166.021,21,7.1
